ps3 sprite file, source image, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match
, sa_se_na_a1, 4, 100%, 4:sprite/normal/sa1a_naku_a1_, , , , , , , , , , , , 
, me_se_to_b2, 4, 100%, 4:sprite/normal/me1b_tokui_a1_, , , , , , , , , , , , 
, sa_se_hn_b2, 4, 100%, 4:sprite/normal/sa1b_hannbeso_b1_, , , , , , , , , , , , 
, me_ta_wi_a1, 4, 100%, 4:sprite/normal/me3_wink_a1_, , , , , , , , , , , , 
, re_ta_ka_b1, 4, 100%, 4:sprite/normal/re3b_kaii_b1_, , , , , , , , , , , , 
, sa_ta_aw_a1, 4, 80%, 4:sprite/normal/sa3_akuwarai_a1_, 1:sprite/night/sa3_akuwarai_a1_, , , , , , , , , , , 
, sa_se_bi_b2, 4, 80%, 4:sprite/normal/sa1b_odoroki_b1_, 1:portrait/normal/sa1b_odoroki_b1_, , , , , , , , , , , 
, ir_hk_de_a1, 3, 50%, 3:sprite/sunset/iri2_def1_, 2:sprite/normal/iri2_def1_, 1:portrait/normal/iri2_def1_, , , , , , , , , , 
, ir_hk_de_a2, 3, 100%, 3:sprite/sunset/iri2_def2_, , , , , , , , , , , , 
, re_se_ik_b1, 3, 25%, 3:sprite/normal/re1b_okoru_b1_, 2:sprite/normal/re1a_warai_a1_, 1:sprite/normal/me1b_tohoho_a1_, 1:sprite/normal/sa1b_odoroki_b1_, 1:sprite/normal/sa1a_hannbeso_a1_, 1:sprite/normal/tomi1_komaru_, 1:sprite/normal/iri1_warai_, 1:sprite/normal/me1b_odoroki_a1_, 1:sprite/normal/re1a_okoru_a1_, , , , 
, sa_se_na_b1, 3, 60%, 3:sprite/normal/sa1b_naku_b1_, 2:portrait/normal/sa1b_naku_b1_, , , , , , , , , , , 
, me_se_to_b1, 3, 100%, 3:sprite/normal/me1b_tokui_a1_, , , , , , , , , , , , 
, sa_ta_de_a1, 3, 100%, 3:sprite/normal/sa3_def_a1_, , , , , , , , , , , , 
, ri_ta_ni_a1, 3, 100%, 3:sprite/normal/ri3_niko_a1_, , , , , , , , , , , , 
, re_ta_wa_a1, 3, 100%, 3:sprite/normal/re3a_warai_a1_, , , , , , , , , , , , 
, re_ta_bi_b1, 3, 75%, 3:sprite/normal/re3b_bikkuri_b1_, 1:sprite/night/re3b_bikkuri_b1_, , , , , , , , , , , 
, re_ta_ha_a1, 3, 75%, 3:sprite/normal/re3a_hau_a1_, 1:sprite/night/re3a_hau_a1_, , , , , , , , , , , 
