ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
,Me_SinmyouA2#,sprite/me2_sinmyou_a1_,1,50%,1:sprite/me2_sinmyou_a1_,1:sprite/me2_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_SinmyouB2,sprite/me1b_sinmyou_a1_,1,100%,1:sprite/me1b_sinmyou_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA1,sprite/me1a_tohoho_a1_,28,85%,28:sprite/me1a_tohoho_a1_,4:sprite/me2_tohoho_a1_,1:sprite/me1a_yowaki_a1_,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA1#,sprite/me2_tohoho_a1_,17,94%,17:sprite/me2_tohoho_a1_,1:sprite/me2_ikari_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA1$,sprite/me5_tohoho_a1_,4,100%,4:sprite/me5_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA1&,sprite/me3_tohoho_a1_,1,100%,1:sprite/me3_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2,sprite/me1a_tohoho_a1_,2,100%,2:sprite/me1a_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2#,sprite/me2_tohoho_a1_,6,100%,6:sprite/me2_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2$,sprite/me5_tohoho_a1_,1,100%,1:sprite/me5_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoA2&,sprite/me3_tohoho_a1_,2,100%,2:sprite/me3_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoB1,sprite/me1b_tohoho_a1_,6,100%,6:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TohohoB2,sprite/me1b_tohoho_a1_,4,100%,4:sprite/me1b_tohoho_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA1,sprite/me1a_tokui_a1_,31,97%,31:sprite/me1a_tokui_a1_,1:sprite/me2_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA1#,sprite/me2_tokui_a1_,8,100%,8:sprite/me2_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA1&,sprite/me3_tokui_a1_,5,100%,5:sprite/me3_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA2,sprite/me1a_tokui_a1_,2,100%,2:sprite/me1a_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA2#,sprite/me2_tokui_a1_,1,100%,1:sprite/me2_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiA2&,sprite/me3_tokui_a1_,1,100%,1:sprite/me3_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiB1,sprite/me1b_tokui_a1_,7,100%,7:sprite/me1b_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_TokuiB2,sprite/me1b_tokui_a1_,6,100%,6:sprite/me1b_tokui_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WAraiA2,sprite/me1a_warai_a1_,1,100%,1:sprite/me1a_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WAraiA2$,sprite/me5_warai_a1_,1,100%,1:sprite/me5_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA1,sprite/me1a_warai_a1_,39,93%,39:sprite/me1a_warai_a1_,1:sprite/flashback/me2_warai_a1_,1:sprite/me2_warai_a1_,1:sprite/re1a_def_a1_,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA1#,sprite/me2_warai_a1_,12,100%,12:sprite/me2_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
,Me_WaraiA1$,sprite/me5_warai_a1_,2,100%,2:sprite/me5_warai_a1_,,,,,,,,,,,,,,,,,,,,,,,,,,
