ps3 sprite file, ps3 image, ryukishi best match, count of best match, confidence,all matches,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
hima_tips_14.txt,kimi_o1_08,bg_223,1,100%,1:bg_223,,,,,,,,,,,,,,,,
hima_003_03.txt,koya1_02,bg_096,1,100%,1:bg_096,,,,,,,,,,,,,,,,
hima_004.txt,kukou1,black,-1,0%,,,,,,,,,,,,,,,,,
_tsum_025.txt,kuruma1,bg_100,20,87%,20:bg_100,1:bg_101,1:bg_102,1:Kuruma1,,,,,,,,,,,,,
_tsum_026.txt,kuruma1_02,bg_100,9,56%,9:bg_100,7:Kuruma1,,,,,,,,,,,,,,,
_mina_023_1.txt,kuruma2,bg_101,11,73%,11:bg_101,2:bg_102,2:Kuruma2,,,,,,,,,,,,,,
hima_003_03.txt,kuruma2_01,bg_101,2,100%,2:bg_101,,,,,,,,,,,,,,,,
_tsum_026.txt,kuruma2_02,Kuruma2,6,60%,6:Kuruma2,4:bg_101,,,,,,,,,,,,,,,
hima_003_03.txt,kuruma3,bg_046,2,67%,2:bg_046,1:bg_102,,,,,,,,,,,,,,,
_tsum_012_2.txt,kuruma3_01,bg_102,4,57%,4:bg_102,1:bg_028,1:bg_101,1:Kuruma3,,,,,,,,,,,,,
_tsum_026.txt,kuruma3_02,Kuruma3,10,71%,10:Kuruma3,4:bg_102,,,,,,,,,,,,,,,
_mina_027.txt,kuruma4,bg_103,10,45%,10:bg_103,5:Kuruma4,2:bg_100,2:Kuruma8,1:bg_104,1:bg_192,1:Kuruma6,,,,,,,,,,
tata_011_03.txt,kuruma4_01,bg_103,3,100%,3:bg_103,,,,,,,,,,,,,,,,
_mina_027.txt,kuruma5,Kuruma5,5,50%,5:Kuruma5,4:bg_104,1:Kuruma4,,,,,,,,,,,,,,
_mina_019.txt,kuruma5_01,bg_106,1,33%,1:bg_106,1:Mati4,1:Kuruma2,,,,,,,,,,,,,,
_meak_001.txt,kuruma5_02,Kuruma8,3,75%,3:Kuruma8,1:Kuruma5,,,,,,,,,,,,,,,
tata_011_03.txt,kuruma5_03,bg_104,1,100%,1:bg_104,,,,,,,,,,,,,,,,
_mina_010.txt,kuruma6,bg_105,8,80%,8:bg_105,1:bg_208,1:Kuruma6,,,,,,,,,,,,,,
_tsum_017.txt,m_hi1,bg_038,12,50%,12:bg_038,4:bg_120,2:bg_067,2:M_Hi1,1:bg_039,1:bg_044,1:M_Hi5,1:Ie2,,,,,,,,,
_mina_020.txt,m_hi1_01,bg_038,2,100%,2:bg_038,,,,,,,,,,,,,,,,
_mina_009_2.txt,m_hi3,bg_040,12,38%,12:bg_040,9:bg_039,3:M_Hi3,2:M_Hi2,1:bg_041,1:bg_005,1:bg_042,1:M_Hi7,1:Hi5,1:M_Hi4,,,,,,,
_mina_016.txt,m_hi3_01,bg_040,2,50%,2:bg_040,1:bg_039,1:M_Hi3,,,,,,,,,,,,,,
_mina_006.txt,m_hi4,bg_041,12,60%,12:bg_041,5:bg_046,3:M_Hi9,,,,,,,,,,,,,,
tata_012.txt,m_hi4_01,bg_041,6,86%,6:bg_041,1:bg_050,,,,,,,,,,,,,,,
_mina_009_2.txt,m_hi5,bg_042,4,36%,4:bg_042,3:M_Hi13,2:bg_051,1:M_Hi15,1:M_Hi5,,,,,,,,,,,,
_tsum_004.txt,m_hi5_01,bg_042,1,50%,1:bg_042,1:M_Hi7,,,,,,,,,,,,,,,
_mina_009_2.txt,m_hi6,bg_043,5,62%,5:bg_043,2:M_Hi6,1:bg_046,,,,,,,,,,,,,,
_tsum_004.txt,m_hi6_01,bg_200,1,33%,1:bg_200,1:bg_043,1:M_Hi6,,,,,,,,,,,,,,
_mina_tips_005.txt,m_hi8,bg_045,5,56%,5:bg_045,1:bg_044,1:bg_049,1:M_Hi12,1:Mati11,,,,,,,,,,,,
_mina_ep.txt,m_y1,bg_249,3,38%,3:bg_249,2:M_Y1,1:bg_243,1:bg_254,1:M_Y6,,,,,,,,,,,,
_mina_ep.txt,m_y2,M_Y2,2,33%,2:M_Y2,1:bg_254,1:bg_250,1:YMo2,1:YMo3,,,,,,,,,,,,
tata_002.txt,m_y2_02,bg_127,1,50%,1:bg_127,1:bg_046,,,,,,,,,,,,,,,
tata_011_03.txt,m_y2_04,bg_254,2,50%,2:bg_254,1:bg_251,1:bg_250,,,,,,,,,,,,,,
_mina_op.txt,m_y4,M_Y4,10,53%,10:M_Y4,6:bg_252,1:bg_209,1:bg_254,1:M_Hi3,,,,,,,,,,,,
_mina_ep.txt,m_y7,bg_253,1,17%,1:bg_253,1:bg_252,1:bg_254,1:bg_243,1:M_Y1,1:M_Y7,,,,,,,,,,,
_mina_011_2.txt,ma1,bg_117,17,85%,17:bg_117,1:bg_093,1:bg_119,1:Ma1,,,,,,,,,,,,,
tata_012.txt,ma1_01,bg_117,2,100%,2:bg_117,,,,,,,,,,,,,,,,
_mina_020.txt,ma1_02,bg_117,4,80%,4:bg_117,1:bg_119,,,,,,,,,,,,,,,
_mina_011_1.txt,ma2,bg_118,21,64%,21:bg_118,10:Ma2,2:bg_117,,,,,,,,,,,,,,
tata_012.txt,ma2_01,bg_118,6,100%,6:bg_118,,,,,,,,,,,,,,,,
_tsum_tips_012.txt,ma3,bg_119,7,58%,7:bg_119,3:bg_120,1:bg_067,1:Kusa,,,,,,,,,,,,,
tata_012.txt,ma3_01,bg_119,1,100%,1:bg_119,,,,,,,,,,,,,,,,
_tsum_004.txt,ma3_02,bg_120,2,50%,2:bg_120,2:Ma4,,,,,,,,,,,,,,,
_tsum_023_2.txt,ma5,Ma5,3,100%,3:Ma5,,,,,,,,,,,,,,,,
tata_011_03.txt,ma5_01,bg_121,1,100%,1:bg_121,,,,,,,,,,,,,,,,
_mina_003_1.txt,ma_d1,bg_115,12,57%,12:bg_115,3:bg_210,3:bg_170,1:bg_116,1:Ma_D1,1:Ribing1,,,,,,,,,,,
_tsum_022.txt,ma_d1_01,bg_115,-1,0%,,,,,,,,,,,,,,,,,
_mina_003_1.txt,ma_g1,bg_020,11,85%,11:bg_020,1:bg_022,1:Ma_G1,,,,,,,,,,,,,,
wata_003.txt,ma_g1_01,bg_020,1,100%,1:bg_020,,,,,,,,,,,,,,,,
